Watching for file changes with StatReloader
Forbidden (CSRF token missing.): /admin/login/
"POST /admin/login/?next=/admin/users/user/ HTTP/1.1" 403 2505
"GET /api/v1/products/6/ HTTP/1.1" 200 1727
"GET /api/v1/products/6/ HTTP/1.1" 200 1727
"OPTIONS /api/v1/products/7/ HTTP/1.1" 200 0
"OPTIONS /api/v1/products/7/ HTTP/1.1" 200 0
"GET /api/v1/products/7/ HTTP/1.1" 200 1728
"GET /api/v1/products/7/ HTTP/1.1" 200 1728
"GET /api/v1/users/stores/3/homepage-products/ HTTP/1.1" 200 2
"GET /api/v1/users/stores/3/homepage-products/ HTTP/1.1" 200 2
"GET /api/v1/products/stores/3/offers/ HTTP/1.1" 200 13
"GET /api/v1/reviews/stores/3/?sort=default HTTP/1.1" 200 266
"GET /api/v1/reviews/stores/3/?sort=default HTTP/1.1" 200 266
"GET /api/v1/reviews/stores/3/?sort=default HTTP/1.1" 200 266
"GET /api/v1/reviews/stores/3/?sort=default HTTP/1.1" 200 266
"GET /api/v1/users/stores/3/homepage-products/ HTTP/1.1" 200 2
"GET /api/v1/products/6/ HTTP/1.1" 200 1727
"GET /api/v1/products/6/ HTTP/1.1" 200 1727
"OPTIONS /api/v1/orders/cart/add/ HTTP/1.1" 200 0
"POST /api/v1/orders/cart/add/ HTTP/1.1" 201 375
"GET /api/v1/orders/cart/ HTTP/1.1" 200 538
"OPTIONS /api/v1/auth/shipping-info/ HTTP/1.1" 200 0
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"GET /api/v1/orders/cart/ HTTP/1.1" 200 538
"POST /api/v1/orders/cart/add/ HTTP/1.1" 201 375
"GET /api/v1/auth/shipping-info/ HTTP/1.1" 200 75
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"POST /api/v1/orders/cart/add/ HTTP/1.1" 201 376
"GET /api/v1/auth/shipping-info/ HTTP/1.1" 200 75
"GET /api/v1/orders/cart/ HTTP/1.1" 200 916
"GET /api/v1/orders/cart/ HTTP/1.1" 200 916
"GET /api/v1/orders/cart/ HTTP/1.1" 200 916
"OPTIONS /api/v1/orders/orders/create/ HTTP/1.1" 200 0
"POST /api/v1/orders/orders/create/ HTTP/1.1" 201 1839
"OPTIONS /api/v1/orders/cart/items/1/remove/ HTTP/1.1" 200 0
"OPTIONS /api/v1/orders/cart/items/2/remove/ HTTP/1.1" 200 0
Not Found: /api/v1/orders/cart/items/1/remove/
Not Found: /api/v1/orders/cart/items/2/remove/
"DELETE /api/v1/orders/cart/items/1/remove/ HTTP/1.1" 404 23
"DELETE /api/v1/orders/cart/items/2/remove/ HTTP/1.1" 404 23
"POST /api/v1/auth/login/ HTTP/1.1" 200 769
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"GET /api/v1/products/ HTTP/1.1" 200 8404
"GET /api/v1/auth/stores/ HTTP/1.1" 200 3220
"GET /api/v1/products/ HTTP/1.1" 200 8404
"GET /api/v1/auth/stores/ HTTP/1.1" 200 3220
"GET /api/v1/auth/shipping-info/ HTTP/1.1" 200 75
"GET /api/v1/orders/cart/ HTTP/1.1" 200 161
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"POST /api/v1/orders/cart/add/ HTTP/1.1" 201 369
"GET /api/v1/auth/shipping-info/ HTTP/1.1" 200 75
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"GET /api/v1/orders/cart/ HTTP/1.1" 200 533
"GET /api/v1/orders/cart/ HTTP/1.1" 200 533
Internal Server Error: /api/v1/orders/cart/add/
Traceback (most recent call last):
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
psycopg2.errors.UniqueViolation: duplicate key value violates unique constraint "cart_items_cart_id_product_id_size_color_6119cf01_uniq"
DETAIL:  Key (cart_id, product_id, size, color)=(4, 2, Per Yard, Cream) already exists.


The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\views\generic\base.py", line 104, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\rest_framework\views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\rest_framework\views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\rest_framework\views.py", line 480, in raise_uncaught_exception
    raise exc
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\rest_framework\views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\apps\orders\views.py", line 101, in post
    item = CartItem.objects.create(
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\manager.py", line 87, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\query.py", line 679, in create
    obj.save(force_insert=True, using=self.db)
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\base.py", line 822, in save
    self.save_base(
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\base.py", line 909, in save_base
    updated = self._save_table(
              ^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\base.py", line 1067, in _save_table
    results = self._do_insert(
              ^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\base.py", line 1108, in _do_insert
    return manager._insert(
           ^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\manager.py", line 87, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\query.py", line 1847, in _insert
    return query.get_compiler(using=using).execute_sql(returning_fields)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\sql\compiler.py", line 1823, in execute_sql
    cursor.execute(sql, params)
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\backends\utils.py", line 122, in execute
    return super().execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\backends\utils.py", line 79, in execute
